sample_id,asv_id,health,n_reads,rclr
2016_S_SB_D_250,ASV1374,D,0,0
2016_S_SB_D_250,ASV1375,D,0,0
2016_S_SB_D_250,ASV1381,D,0,0
2016_S_SB_D_250,ASV1383,D,0,0
2016_S_SB_D_250,ASV1384,D,0,0
2016_S_SB_D_250,ASV1385,D,0,0
2016_S_SB_D_250,ASV1390,D,0,0
2016_S_SB_D_250,ASV1391,D,0,0
2016_S_SB_D_250,ASV1392,D,0,0
2016_S_SB_D_250,ASV1394,D,0,0
2016_S_SB_D_250,ASV1397,D,0,0
2016_S_SB_D_250,ASV1398,D,0,0
2016_S_SB_D_250,ASV1402,D,0,0
2016_S_SB_D_250,ASV1406,D,0,0
2016_S_SB_D_250,ASV1410,D,0,0
2016_S_SB_D_250,ASV1419,D,0,0
2016_S_SB_D_250,ASV1421,D,0,0
2016_S_SB_D_250,ASV1427,D,0,0
2016_S_SB_D_250,ASV1428,D,0,0
2016_S_SB_D_250,ASV1432,D,0,0
2016_S_SB_D_250,ASV1435,D,0,0
2016_S_SB_D_250,ASV1439,D,0,0
2016_S_SB_D_250,ASV1443,D,0,0
2016_S_SB_D_250,ASV1444,D,0,0
2016_S_SB_D_250,ASV1450,D,0,0
2016_S_SB_D_250,ASV1451,D,0,0
2016_S_SB_D_250,ASV1453,D,0,0
2016_S_SB_D_250,ASV1468,D,0,0
2016_S_SB_D_250,ASV1471,D,0,0
2016_S_SB_D_250,ASV1474,D,0,0
2016_S_SB_D_250,ASV1477,D,0,0
2016_S_SB_D_250,ASV1478,D,0,0
2016_S_SB_D_250,ASV1482,D,0,0
2016_S_SB_D_250,ASV1486,D,0,0
2016_S_SB_D_250,ASV1490,D,0,0
2016_S_SB_D_250,ASV1491,D,0,0
2016_S_SB_D_250,ASV1496,D,0,0
2016_S_SB_D_250,ASV1499,D,0,0
2016_S_SB_D_250,ASV1501,D,0,0
2016_S_SB_D_250,ASV1507,D,0,0
2016_S_SB_D_250,ASV1509,D,0,0
